,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029
1,D,A,D,E,E,A,A,B,A,C,B,A,C,A,A,A,C,B,D,D,B,D,A,E,A,D,C,C,B,B,A,B,B,C,A,C,B,B,D,A,A,B,C,C,B,D,C,C,,,,,
2,D,B,E,E,C,A,C,A,A,E,A,D,E,A,E,A,A,C,D,E,A,B,B,A,C,B,C,A,D,C,D,A,D,B,A,D,D,A,D,A,D,D,D,C,C,B,C,D,,,,,
3,A,A,C,C,A,D,A,E,B,B,E,C,B,A,A,E,B,C,D,C,D,A,D,C,A,A,A,C,A,A,A,A,D,D,D,C,D,B,A,D,A,C,B,A,D,A,A,A,,,,,
4,C,C,B,E,E,E,C,E,B,C,D,A,A,E,E,D,E,B,A,C,D,C,B,E,E,D,A,A,D,A,A,B,A,B,B,B,C,B,D,C,D,A,C,A,B,D,B,A,,,,,
5,A,E,C,A,A,D,E,A,E,E,B,C,D,A,E,A,A,D,E,B,B,E,E,B,B,B,C,C,B,A,D,C,A,D,A,B,A,C,B,A,D,A,A,B,D,A,A,B,,,,,
6,B,B,E,D,C,D,A,A,D,A,C,A,E,E,C,A,B,E,C,B,E,D,C,B,D,A,A,C,D,B,B,C,A,C,C,D,C,D,A,B,A,D,D,D,D,B,D,A,,,,,
7,E,D,C,D,D,E,C,A,A,E,D,A,E,E,B,A,B,A,C,A,B,B,A,C,A,A,D,D,D,A,B,C,B,D,A,C,B,C,A,A,B,D,B,C,A,A,C,B,,,,,
8,D,B,C,C,C,C,B,B,D,B,B,E,C,B,E,A,B,E,D,E,D,B,D,B,B,D,D,D,C,D,D,D,D,A,A,D,A,A,D,C,A,C,C,A,B,B,D,D,,,,,
9,C,E,B,D,C,B,D,B,B,C,C,D,B,C,D,E,C,C,E,C,A,D,A,D,D,D,C,A,A,A,A,A,B,C,B,A,D,A,B,D,C,D,D,A,A,D,A,C,,,,,
10,C,D,A,B,D,C,B,C,C,C,E,E,C,C,A,D,D,B,B,D,C,E,D,A,E,B,D,B,D,B,B,A,C,D,C,D,A,C,D,C,C,B,A,B,C,A,D,B,,,,,
11,B,C,D,D,C,C,B,D,E,A,D,D,D,D,C,E,B,E,C,C,B,D,C,E,B,C,B,B,B,C,D,C,B,B,B,C,D,A,C,D,B,D,C,A,C,C,B,C,,,,,
12,B,D,D,B,D,D,D,E,C,A,A,A,D,B,A,C,A,A,C,D,A,B,C,B,B,C,D,B,D,C,D,A,C,D,B,B,C,D,D,D,C,A,B,D,B,C,D,A,,,,,
13,B,C,E,B,C,B,A,A,D,E,D,B,A,B,C,C,B,D,E,C,C,B,C,A,E,D,D,C,C,D,A,C,C,A,C,D,C,C,B,A,B,C,A,D,C,B,B,C,,,,,
14,B,B,E,B,D,E,B,C,B,B,D,E,C,D,D,B,B,D,A,E,E,C,B,A,A,A,A,C,C,D,B,D,D,D,B,B,D,D,C,C,B,B,C,B,A,C,B,A,,,,,
15,E,E,B,A,E,A,A,A,A,E,C,E,B,C,A,B,B,A,B,A,C,E,E,C,C,A,D,B,D,C,C,C,D,B,A,A,B,C,C,B,C,D,D,D,C,A,A,D,,,,,
16,A,D,B,B,B,C,B,A,E,D,B,E,A,D,B,A,A,A,A,D,A,E,A,C,C,A,D,A,B,A,A,B,A,A,C,B,B,C,B,D,D,A,D,B,A,D,D,D,,,,,
17,E,E,B,C,D,D,E,A,B,C,A,C,A,E,D,B,E,A,C,D,E,B,B,E,A,B,B,C,D,A,A,C,B,B,C,B,B,D,D,A,D,B,A,C,B,B,B,C,,,,,
18,D,D,C,A,E,B,E,B,B,A,B,B,B,A,D,B,A,E,C,E,B,B,D,A,C,C,B,D,C,B,B,C,B,C,B,A,C,A,A,C,A,B,D,B,B,C,A,C,,,,,
19,E,D,D,C,C,A,D,A,E,B,D,C,C,C,C,D,C,A,E,E,D,D,B,A,E,D,A,B,B,C,A,C,A,C,D,C,C,A,C,A,D,D,A,B,D,D,C,D,,,,,
20,C,B,B,A,E,E,A,B,C,D,C,B,C,C,B,D,B,C,D,B,E,C,B,E,C,A,C,C,C,A,D,C,C,A,D,C,D,B,C,C,D,B,C,D,C,B,A,D,,,,,
21,C,A,C,B,B,E,C,D,D,C,A,C,D,C,A,B,A,D,C,B,C,C,A,E,C,C,C,B,C,D,D,D,D,B,D,D,C,A,B,B,C,C,B,C,D,B,C,B,,,,,
22,A,B,D,D,D,E,E,D,C,A,E,B,D,B,C,D,C,B,B,C,D,A,E,C,A,A,B,D,C,D,D,C,B,D,C,A,A,C,A,D,D,B,B,C,A,C,B,B,,,,,
23,A,D,A,E,D,B,D,C,B,D,B,D,B,D,B,D,C,E,D,B,D,E,A,D,C,B,B,B,B,C,B,A,B,A,B,D,B,B,C,A,A,B,A,B,B,C,D,A,,,,,
24,D,D,C,C,B,B,C,D,A,B,B,B,E,A,D,C,C,D,C,B,C,A,A,D,D,C,B,D,C,B,D,A,C,B,C,A,A,D,A,B,A,A,A,D,D,A,C,A,,,,,
25,B,E,A,E,E,A,B,D,B,B,C,E,A,A,C,E,C,B,B,A,E,E,D,B,B,B,C,C,A,D,C,A,D,A,A,C,D,D,B,D,C,D,D,A,C,D,A,C,,,,,
26,B,C,B,B,C,A,D,B,D,A,A,D,C,E,E,D,B,A,C,A,E,B,D,C,A,D,B,A,C,D,B,D,A,C,A,A,A,A,C,B,A,C,D,D,A,A,B,B,,,,,
27,E,B,D,D,B,A,A,D,B,B,B,C,A,E,E,B,B,A,B,B,E,B,C,D,D,B,A,B,B,C,D,B,A,C,C,A,B,B,A,C,B,C,B,C,C,C,C,D,,,,,
28,D,C,E,E,A,C,C,B,D,A,C,E,B,A,D,A,C,C,E,E,A,C,B,D,E,B,C,D,C,C,B,D,C,D,C,B,A,D,B,C,C,A,C,B,D,D,D,C,,,,,
29,C,C,A,A,C,C,E,E,D,A,D,E,B,D,B,E,D,E,D,E,B,C,B,A,C,B,A,D,C,D,C,B,A,B,B,B,D,C,A,B,B,C,B,A,B,A,C,B,,,,,
30,B,E,E,A,A,A,C,D,A,A,C,E,C,B,A,B,C,B,E,A,B,A,A,D,B,D,A,A,D,A,C,C,D,C,D,D,B,B,B,B,B,A,C,A,A,B,A,D,,,,,
31,D,B,C,E,A,C,C,C,C,D,E,B,E,C,C,E,D,B,D,A,C,C,E,B,E,A,A,B,A,D,D,D,B,D,D,B,B,A,C,C,D,C,B,B,A,C,B,B,,,,,
32,A,C,B,D,B,A,D,C,C,C,D,B,E,C,E,D,C,C,B,C,D,E,D,B,B,C,B,A,C,B,A,D,A,B,D,C,B,C,A,D,D,C,D,B,D,C,D,A,,,,,
33,E,E,D,C,D,E,E,E,D,E,B,D,B,E,D,E,A,C,D,D,B,A,C,A,E,A,B,B,D,C,A,B,D,C,A,A,A,B,A,A,C,D,A,D,C,D,A,B,,,,,
34,D,C,E,D,A,D,E,C,E,C,E,E,E,A,D,C,A,B,E,B,A,A,E,A,D,B,C,B,A,B,C,D,C,A,B,C,D,C,B,B,D,C,D,C,C,A,B,D,,,,,
35,C,C,E,C,D,D,B,B,A,D,D,A,A,C,D,E,D,A,D,C,C,A,E,D,B,C,D,A,D,C,B,A,C,A,D,A,D,D,C,D,B,B,C,D,A,B,D,A,,,,,
36,C,E,D,D,D,D,B,D,D,E,A,D,C,D,C,E,E,D,E,C,A,E,C,C,A,C,C,C,A,B,C,A,C,A,D,D,A,A,D,B,C,A,C,C,A,B,B,C,,,,,
37,D,E,A,C,B,C,B,E,E,B,E,C,D,D,C,E,D,A,A,C,E,C,B,E,E,D,B,D,D,B,C,D,D,C,D,A,C,B,D,A,C,D,A,C,B,D,D,C,,,,,
38,C,A,A,B,D,B,B,B,A,E,C,A,E,B,E,E,B,E,B,A,C,A,E,D,A,D,C,D,A,A,D,C,C,A,B,C,C,A,B,B,A,B,A,A,B,D,C,B,,,,,
39,A,A,C,B,C,B,D,D,A,E,C,D,B,C,E,B,D,A,E,E,C,A,E,E,C,B,D,A,D,C,B,A,D,C,C,D,A,D,D,A,A,B,B,A,D,C,A,A,,,,,
40,A,B,D,C,B,C,D,B,C,D,C,C,E,E,A,B,A,C,E,A,A,A,E,B,B,C,A,B,A,B,A,A,D,D,D,D,B,D,C,D,B,A,C,D,A,A,A,C,,,,,
41,E,D,E,A,E,E,D,D,E,B,D,A,A,B,E,A,D,C,A,A,C,C,C,C,D,C,C,C,C,C,A,B,A,A,A,C,D,C,B,C,D,D,B,D,C,A,C,A,,,,,
42,C,C,C,B,C,B,D,B,C,D,A,C,B,A,B,D,D,D,A,D,A,D,B,D,D,B,C,C,A,D,C,B,B,C,A,B,B,C,A,A,B,A,C,A,D,B,B,C,,,,,
43,*,E,C,E,C,B,D,A,C,C,A,C,C,E,D,C,D,C,C,E,E,D,D,C,B,C,D,D,B,A,B,B,A,A,B,B,A,B,C,D,C,C,D,B,D,B,C,D,,,,,
44,*,C,A,D,B,D,D,B,D,C,B,A,A,B,C,C,D,D,B,C,E,C,E,A,E,D,D,A,A,A,C,B,A,C,C,D,C,D,D,B,B,B,B,A,C,C,D,D,,,,,
45,*,C,B,C,A,E,C,D,D,E,E,A,D,B,D,C,E,B,E,D,D,E,D,E,D,C,B,A,A,C,C,B,B,B,C,A,C,B,B,C,A,A,A,C,B,D,A,B,,,,,
46,*,A,E,A,A,E,E,E,D,C,D,B,C,E,E,B,B,E,E,B,D,E,A,C,D,A,B,A,B,B,D,B,C,B,D,,,,,,,,,,,,,,,,,,
47,E,A,D,C,A,A,E,C,D,C,B,C,E,E,A,A,E,D,C,B,A,D,B,B,A,A,A,A,B,B,B,B,B,D,A,,,,,,,,,,,,,,,,,,
48,*,B,B,B,B,D,E,C,C,D,A,B,D,C,B,D,C,C,B,D,D,C,E,B,D,D,A,D,B,D,A,D,B,D,D,,,,,,,,,,,,,,,,,,
49,*,D,D,E,E,A,A,C,E,A,D,D,B,D,B,C,A,B,C,A,A,D,C,D,A,B,D,D,A,D,A,D,C,B,C,,,,,,,,,,,,,,,,,,
50,*,*,A,D,E,B,A,E,A,D,C,D,A,D,B,B,E,E,A,D,B,D,C,A,B,B,C,A,B,A,C,A,C,C,B,,,,,,,,,,,,,,,,,,
51,*,*,D,B,B,D,E,D,C,D,D,B,D,C,B,A,E,B,A,A,D,C,A,B,D,A,B,B,B,C,C,B,B,A,B,,,,,,,,,,,,,,,,,,
52,*,*,A,A,E,B,B,C,D,A,A,B,A,B,C,D,D,E,B,C,C,B,A,E,E,B,A,D,C,B,C,D,D,D,C,,,,,,,,,,,,,,,,,,
53,*,*,E,A,C,C,C,E,C,B,C,E,D,D,B,C,A,D,B,E,B,E,C,C,E,D,D,C,B,B,B,D,C,A,A,,,,,,,,,,,,,,,,,,
54,*,*,E,C,B,C,A,E,E,D,C,E,E,A,A,C,E,C,A,B,C,B,D,D,C,C,B,C,A,D,D,A,A,B,B,,,,,,,,,,,,,,,,,,
